Provider,Provider ID,Provider Name,Provider Parent Provider,Provider Description,Provider Eligibility,Provider Hours,Provider Intake / Application Process,Provider Languages,Provider Program Fees,Provider Shelter Requirements,Provider Volunteer Opportunities,Provider Website Address,Address Type,Address Line1,Address Line2,Address City,Address Province,Address Postal Code,Address County,Address Is Primary Address,Contact Name,Contact Title,Contact Email,Contact Telephone Number,Contact Is Primary Contact,Telephone Number,Telephone Is Primary Telephone,Service Code,Service Code Description,Service Code Type Service,Service Code Out Of Resource,"Geography Served by State, State Name"
ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS)(113),113,ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS),INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The GUESS Program provides comprehensive case management and counseling services to youth who are involved in or at-risk of being involved in a gang or gang activities. Our aim is to identify youth that demonstrate at-risk behaviors and offer interventions that focus on reducing delinquency; we educate, guide, and assist youth and their families with the needed services to strengthen the family unit, reduce the risk factors, and reinforce protective factors. Program Clinician provides participants and their families with individual and family counseling both on-site and in-home.","Adolescents, ages 15 to 24, involved with gangs who wish to exit the gang.",Call for information.,Call for information.,"English, Spanish, Creole",Free,,"Yes, call for information.",www.icfhinc.org,Mailing,ICFH-Gang Unit Exit Strategies Services (Guess),9380 Sunset Drive,Miami,FL ,33173,Miami-dade,No,Annette M. Narango,Programs Coordinator,anaranjo@icfhinc.org,305-235-8105 x5002,Yes,305-235-8105,Yes,FN-2300,Gang Programs,Primary Services,No,Florida
ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS)(113),113,ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS),INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The GUESS Program provides comprehensive case management and counseling services to youth who are involved in or at-risk of being involved in a gang or gang activities. Our aim is to identify youth that demonstrate at-risk behaviors and offer interventions that focus on reducing delinquency; we educate, guide, and assist youth and their families with the needed services to strengthen the family unit, reduce the risk factors, and reinforce protective factors. Program Clinician provides participants and their families with individual and family counseling both on-site and in-home.","Adolescents, ages 15 to 24, involved with gangs who wish to exit the gang.",Call for information.,Call for information.,"English, Spanish, Creole",Free,,"Yes, call for information.",www.icfhinc.org,Physical,9380 Sunset Drive,Suite B180,Miami,FL ,33173,Miami-dade,Yes,Annette M. Narango,Programs Coordinator,anaranjo@icfhinc.org,305-235-8105 x5002,Yes,305-235-8105,Yes,FN-2300,Gang Programs,Primary Services,No,Florida
ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS)(113),113,ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS),INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The GUESS Program provides comprehensive case management and counseling services to youth who are involved in or at-risk of being involved in a gang or gang activities. Our aim is to identify youth that demonstrate at-risk behaviors and offer interventions that focus on reducing delinquency; we educate, guide, and assist youth and their families with the needed services to strengthen the family unit, reduce the risk factors, and reinforce protective factors. Program Clinician provides participants and their families with individual and family counseling both on-site and in-home.","Adolescents, ages 15 to 24, involved with gangs who wish to exit the gang.",Call for information.,Call for information.,"English, Spanish, Creole",Free,,"Yes, call for information.",www.icfhinc.org,Mailing,ICFH-Gang Unit Exit Strategies Services (Guess),9380 Sunset Drive,Miami,FL ,33173,Miami-dade,No,Annette M. Narango,Programs Coordinator,anaranjo@icfhinc.org,305-235-8105 x5002,Yes,305-273-9074,No,FN-2300,Gang Programs,Primary Services,No,Florida
ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS)(113),113,ICFH - VIOLENCE PREVENTION - GANG UNIT EXIT STRATEGIES SERVICES (GUESS),INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The GUESS Program provides comprehensive case management and counseling services to youth who are involved in or at-risk of being involved in a gang or gang activities. Our aim is to identify youth that demonstrate at-risk behaviors and offer interventions that focus on reducing delinquency; we educate, guide, and assist youth and their families with the needed services to strengthen the family unit, reduce the risk factors, and reinforce protective factors. Program Clinician provides participants and their families with individual and family counseling both on-site and in-home.","Adolescents, ages 15 to 24, involved with gangs who wish to exit the gang.",Call for information.,Call for information.,"English, Spanish, Creole",Free,,"Yes, call for information.",www.icfhinc.org,Physical,9380 Sunset Drive,Suite B180,Miami,FL ,33173,Miami-dade,Yes,Annette M. Narango,Programs Coordinator,anaranjo@icfhinc.org,305-235-8105 x5002,Yes,305-273-9074,No,FN-2300,Gang Programs,Primary Services,No,Florida
ICFH - VIOLENCE PREVENTION - STOP NOW AND PLAN (SNAP)(117),117,ICFH - VIOLENCE PREVENTION - STOP NOW AND PLAN (SNAP),INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The Stop Now and Plan Program is an empirically-based model of intervention, developed by the Child Development Institute in Toronto. This program is designed to help children implement techniques and strategies to prevent and reduce delinquent and violent behaviors. This 12-week program teaches effective parenting skills, problem solving techniques and helps to improve the overall communication within the family using a variety of established interventions such as coping skills training, self-control strategies, enhancing communication, family skills training and parent training support groups.",Boys under 12 years of age with behavioral problems and possible legal involvement.,Call for information.,"Accepts referrals, call for an appointment.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,9380 Sunset Drive,Suite B-180,Miami,FL ,33173,Miami-dade,No,Annette M. Naranjo,Programs Coordinator,anaranjo@icfhinc.org,305-235-8105,Yes,305-235-8105,Yes,PH-6200.1550,Conflict Resolution Training,Primary Services,No,Florida
ICFH - VIOLENCE PREVENTION - STOP NOW AND PLAN (SNAP)(117),117,ICFH - VIOLENCE PREVENTION - STOP NOW AND PLAN (SNAP),INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The Stop Now and Plan Program is an empirically-based model of intervention, developed by the Child Development Institute in Toronto. This program is designed to help children implement techniques and strategies to prevent and reduce delinquent and violent behaviors. This 12-week program teaches effective parenting skills, problem solving techniques and helps to improve the overall communication within the family using a variety of established interventions such as coping skills training, self-control strategies, enhancing communication, family skills training and parent training support groups.",Boys under 12 years of age with behavioral problems and possible legal involvement.,Call for information.,"Accepts referrals, call for an appointment.","English, Spanish",Free,,"Yes, call for information.",icfhinc.org,Mailing,9380 Sunset Drive,Suite B-180,Miami,FL ,33173,Miami-dade,No,Annette M. Naranjo,Programs Coordinator,anaranjo@icfhinc.org,305-235-8105,Yes,305-235-8105,Yes,PH-6200.4600,Life Skills Education,Primary Services,No,Florida
ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE  MANAGEMENT(127),127,ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE  MANAGEMENT,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The case management program is designed to assist the client and/or family with the coordination, linkage, advocacy and monitoring of services. Such services may include: mental health, family support, educational support/placement, housing, financial resources, basic living needs, legal concerns, medical and dental concerns, and social support.",Children ages 0-18 years old and their families.,Call for information.,"Accepts referrals, call for information.","English, Spanish, Creole, French",Accepts Medicaid and other insurance. Call for information.,,"Yes, call for information.",www.icfhinc.org,Mailing,430 West 66th Street,ICFH- Targeted Case Management,Hialeah,FL ,33012,Miami-dade,No,Sharane Knibbs,Lead Case Manager,sknibbs-rhone@icfhinc.org,305-558-2480 x3012,Yes,305-828-3146,No,PH-2360,Family Based Services,Primary Services,No,Florida
ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE  MANAGEMENT(127),127,ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE  MANAGEMENT,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The case management program is designed to assist the client and/or family with the coordination, linkage, advocacy and monitoring of services. Such services may include: mental health, family support, educational support/placement, housing, financial resources, basic living needs, legal concerns, medical and dental concerns, and social support.",Children ages 0-18 years old and their families.,Call for information.,"Accepts referrals, call for information.","English, Spanish, Creole, French",Accepts Medicaid and other insurance. Call for information.,,"Yes, call for information.",www.icfhinc.org,Mailing,430 West 66th Street,ICFH- Targeted Case Management,Hialeah,FL ,33012,Miami-dade,No,Sharane Knibbs,Lead Case Manager,sknibbs-rhone@icfhinc.org,305-558-2480 x3012,Yes,305-558-2480 x3012,Yes,PH-2360,Family Based Services,Primary Services,No,Florida
ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE  MANAGEMENT(127),127,ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE  MANAGEMENT,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The case management program is designed to assist the client and/or family with the coordination, linkage, advocacy and monitoring of services. Such services may include: mental health, family support, educational support/placement, housing, financial resources, basic living needs, legal concerns, medical and dental concerns, and social support.",Children ages 0-18 years old and their families.,Call for information.,"Accepts referrals, call for information.","English, Spanish, Creole, French",Accepts Medicaid and other insurance. Call for information.,,"Yes, call for information.",www.icfhinc.org,Mailing,430 West 66th Street,ICFH- Targeted Case Management,Hialeah,FL ,33012,Miami-dade,No,Sharane Knibbs,Lead Case Manager,sknibbs-rhone@icfhinc.org,305-558-2480 x3012,Yes,305-828-3146,No,PH-1000,Case/Care Management,Primary Services,No,Florida
ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE  MANAGEMENT(127),127,ICFH - CHILD AND FAMILY COUNSELING - TARGETED CASE  MANAGEMENT,INSTITUTE FOR CHILD AND FAMILY HEALTH(108),"The case management program is designed to assist the client and/or family with the coordination, linkage, advocacy and monitoring of services. Such services may include: mental health, family support, educational support/placement, housing, financial resources, basic living needs, legal concerns, medical and dental concerns, and social support.",Children ages 0-18 years old and their families.,Call for information.,"Accepts referrals, call for information.","English, Spanish, Creole, French",Accepts Medicaid and other insurance. Call for information.,,"Yes, call for information.",www.icfhinc.org,Mailing,430 West 66th Street,ICFH- Targeted Case Management,Hialeah,FL ,33012,Miami-dade,No,Sharane Knibbs,Lead Case Manager,sknibbs-rhone@icfhinc.org,305-558-2480 x3012,Yes,305-558-2480 x3012,Yes,PH-1000,Case/Care Management,Primary Services,No,Florida
